"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"3883","OPTCUR","USDINR","OPTION","23-Jun-2023",81.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",11927,1,1000,0.0025,"US Dollars","","","","",0.0075,0.9325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.47,"USDINR"
"3886","OPTCUR","USDINR","OPTION","23-Jun-2023",81.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",59196,1,1000,0.0025,"US Dollars","","","","",0.0025,0.6175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.2275,"USDINR"
"3898","OPTCUR","USDINR","OPTION","23-Jun-2023",82,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",685689,1,1000,0.0025,"US Dollars","","","","",0.0025,0.245,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.03,"USDINR"
"3908","OPTCUR","USDINR","OPTION","23-Jun-2023",82.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",340702,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0625,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.005,"USDINR"
"3910","OPTCUR","USDINR","OPTION","23-Jun-2023",82.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",237285,1,1000,0.0025,"US Dollars","","","","",0.0025,0.01,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"3922","OPTCUR","USDINR","OPTION","23-Jun-2023",82.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",72568,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"3936","OPTCUR","USDINR","OPTION","23-Jun-2023",83.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",26932,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"3941","OPTCUR","USDINR","OPTION","23-Jun-2023",83.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"3974","OPTCUR","USDINR","OPTION","23-Jun-2023",84,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1843,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"3976","OPTCUR","USDINR","OPTION","23-Jun-2023",84.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
