,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
0,2023-07-07 07:30:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,0
1,2023-07-07 07:31:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,1
2,2023-07-07 07:32:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,2
3,2023-07-07 07:33:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,3
4,2023-07-07 07:34:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,4
5,2023-07-07 07:35:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,5
6,2023-07-07 07:36:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,6
7,2023-07-07 07:37:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,7
8,2023-07-07 07:38:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,8
9,2023-07-07 07:39:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,9
10,2023-07-07 07:40:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,10
11,2023-07-07 07:41:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,11
12,2023-07-07 07:42:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,12
13,2023-07-07 07:43:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,13
14,2023-07-07 07:44:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,14
15,2023-07-07 07:45:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,15
16,2023-07-07 07:46:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,16
17,2023-07-07 07:47:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,17
18,2023-07-07 07:48:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,18
19,2023-07-07 07:49:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,19
20,2023-07-07 07:50:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,20
21,2023-07-07 07:51:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,21
22,2023-07-07 07:52:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,22
23,2023-07-07 07:53:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,23
24,2023-07-07 07:54:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,24
25,2023-07-07 07:55:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,25
26,2023-07-07 07:56:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,26
27,2023-07-07 07:57:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,27
28,2023-07-07 07:58:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,28
29,2023-07-07 07:59:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,29
30,2023-07-07 08:00:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,30
31,2023-07-07 08:01:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,31
32,2023-07-07 08:02:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,32
33,2023-07-07 08:03:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,33
34,2023-07-07 08:04:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,34
35,2023-07-07 08:05:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,35
36,2023-07-07 08:06:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,36
37,2023-07-07 08:07:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,37
38,2023-07-07 08:08:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,38
39,2023-07-07 08:09:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,39
40,2023-07-07 08:10:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,40
41,2023-07-07 08:11:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,41
42,2023-07-07 08:12:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,42
43,2023-07-07 08:13:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,43
44,2023-07-07 08:14:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,44
45,2023-07-07 08:15:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,45
46,2023-07-07 08:16:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,46
47,2023-07-07 08:17:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,47
48,2023-07-07 08:18:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,48
49,2023-07-07 08:19:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,49
50,2023-07-07 08:20:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,50
51,2023-07-07 08:21:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,51
52,2023-07-07 08:22:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,52
53,2023-07-07 08:23:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,53
54,2023-07-07 08:24:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,54
55,2023-07-07 08:25:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,55
56,2023-07-07 08:26:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,56
57,2023-07-07 08:27:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,57
58,2023-07-07 08:28:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,58
59,2023-07-07 08:29:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,59
60,2023-07-07 08:30:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,60
61,2023-07-07 08:31:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,61
62,2023-07-07 08:32:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,62
63,2023-07-07 08:33:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,63
64,2023-07-07 08:34:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,64
65,2023-07-07 08:35:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,65
66,2023-07-07 08:36:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,66
67,2023-07-07 08:37:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,67
68,2023-07-07 08:38:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,68
69,2023-07-07 08:39:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,69
70,2023-07-07 08:40:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,70
71,2023-07-07 08:41:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,71
72,2023-07-07 08:42:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,72
73,2023-07-07 08:43:00,NIFTY,NSE,,,,,19497.3,19497.3,19497.3,19497.3,,,73
