"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"12316","OPTCUR","USDINR","OPTION","04-Aug-2023",87,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0325,"USDINR"
"12324","OPTCUR","USDINR","OPTION","04-Aug-2023",88,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0125,"USDINR"
"12328","OPTCUR","USDINR","OPTION","04-Aug-2023",88.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0075,"USDINR"
"11099","OPTCUR","USDINR","OPTION","04-Aug-2023",77.25,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11149","OPTCUR","USDINR","OPTION","04-Aug-2023",81.25,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",31259,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"11232","OPTCUR","USDINR","OPTION","04-Aug-2023",82.75,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",195866,1,1000,0.0025,"US Dollars","","","","",0.0025,0.3175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.07,"USDINR"
"11269","OPTCUR","USDINR","OPTION","04-Aug-2023",84,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.815,1.73,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.2725,"USDINR"
"11079","OPTCUR","USDINR","OPTION","04-Aug-2023",76.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.7725,6.6875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.23,"USDINR"
"11140","OPTCUR","USDINR","OPTION","04-Aug-2023",80.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1,1,1000,0.0025,"US Dollars","","","","",2.0225,2.9375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.48,"USDINR"
"11268","OPTCUR","USDINR","OPTION","04-Aug-2023",84,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",109,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"12322","OPTCUR","USDINR","OPTION","04-Aug-2023",87.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.015,"USDINR"
"11096","OPTCUR","USDINR","OPTION","04-Aug-2023",77,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.2725,6.1875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.73,"USDINR"
"11144","OPTCUR","USDINR","OPTION","04-Aug-2023",80.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",45,1,1000,0.0025,"US Dollars","","","","",1.5225,2.4375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.98,"USDINR"
"11280","OPTCUR","USDINR","OPTION","04-Aug-2023",84.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"12326","OPTCUR","USDINR","OPTION","04-Aug-2023",88.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0075,"USDINR"
"11098","OPTCUR","USDINR","OPTION","04-Aug-2023",77.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.0225,5.9375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.48,"USDINR"
"11147","OPTCUR","USDINR","OPTION","04-Aug-2023",81,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",49635,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11100","OPTCUR","USDINR","OPTION","04-Aug-2023",77.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.7725,5.6875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.23,"USDINR"
"11102","OPTCUR","USDINR","OPTION","04-Aug-2023",77.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.5225,5.4375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.98,"USDINR"
"11150","OPTCUR","USDINR","OPTION","04-Aug-2023",81.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",9217,1,1000,0.0025,"US Dollars","","","","",0.7825,1.6975,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.24,"USDINR"
"11324","OPTCUR","USDINR","OPTION","04-Aug-2023",85.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11104","OPTCUR","USDINR","OPTION","04-Aug-2023",78,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.2725,5.1875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.73,"USDINR"
"11152","OPTCUR","USDINR","OPTION","04-Aug-2023",81.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",25778,1,1000,0.0025,"US Dollars","","","","",0.53,1.445,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.9875,"USDINR"
"11124","OPTCUR","USDINR","OPTION","04-Aug-2023",78.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.0225,4.9375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.48,"USDINR"
