"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"11471","EXCIND","EQ","EXCELL INDUSTRIES LTD",0.01,1,"","",0,5,"INE369A01029",1575,752,1922.3,22,"","","",0,0,0,1089.5,726.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","EXCELINDUS"
"11472","LLOLUX","SM","LLOYDS LUXURIES LIMITED",0.01,1,"","",0,10,"INE0DTQ01028",0,0,101.4,40,"","","",0,0,0,106.45,96.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LLOYDS"
"11479","HERDRU","EQ","MATRIX LABS",0.01,1,"","",0,2,"INE604D01023",249.35,42.3,313,42.3,"","","",0,0,0,251,167.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MATRIXLABS"
"11483","LARTOU","EQ","LARSEN AND TOUBRO LIMITED",0.01,1,"","",0,2,"INE018A01030",2690,1773,2690,15.57,"","","",0,0,0,2857.9,2338.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LT"
"11488","KRIINF","BE","KRIDHAN INFRA LIMITED",0.01,1,"","",0,2,"INE524L01026",4.95,1.65,142.4,1.1,"","","",0,0,0,2.35,2.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KRIDHANINF"
"11491","APAIND","EQ","APAR INDUSTRIES LIMITED",0.01,1,"","",0,10,"INE372A01015",3965,1153,3965,1.95,"","","",0,0,0,4338.35,2892.25,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","APARINDS"
"11492","SWAPIP","SM","SWASTIK PIPE LIMITED",0.01,1,"","",0,10,"INE0DGC01025",0,0,125.85,66,"","","",0,0,0,117.7,96.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SWASTIK"
"11498","ADIWA1","W1","ADITYA BIRLA FASHION RETAIL",0.01,1,"","",0,1400,"INE647O13016",0,0,0,0,"","","",0,0,0,79.4,65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ABFRL"
"11499","AMBAGA","BE","AMBICA AGARBATHIES & AROMA IND",0.01,1,"","",0,10,"INE792B01012",41.95,19.15,48,5.7,"","","",0,0,0,36,32.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AMBICAAGAR"
"115","AMFIND","EQ","AMFORGE INDUSTRIES LTD",0.01,1,"","",0,2,"INE991A01020",0,0,82.75,1.65,"","","",0,0,0,2.6,1.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AMFORGEIND"
"11501","FROCEL","SM","FROG CELLSAT LIMITED",0.01,1,"","",0,10,"INE385O01018",0,0,311.55,137.25,"","","",0,0,0,350.4,233.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","FROG"
